					ZCE Futures Historical Data(2025CJ)
Date       |Contract Code|Pre Settle|Open     |High     |Low      |Close    |Settle|Chg 1   |Chg 2   |Volume (lot)|O.I.|OI Change|Turnover (RMB 10,000)|Final Settle
2025-01-02 |CJ501        |8,895.00   |8,805.00 |8,865.00 |8,715.00 |8,790.00 |8,770.00  |-105.00   |-125.00   |196       |819         |-408     |859.64       |9,035.00               
2025-01-02 |CJ503        |9,045.00   |9,025.00 |9,100.00 |8,960.00 |9,020.00 |9,065.00  |-25.00    |20.00     |867       |5,191       |-5       |3,928.63     |                       
2025-01-02 |CJ505        |9,230.00   |9,230.00 |9,300.00 |9,160.00 |9,220.00 |9,250.00  |-10.00    |20.00     |48,485    |114,499     |394      |224,215.84   |                       
2025-01-02 |CJ507        |9,365.00   |9,360.00 |9,435.00 |9,300.00 |9,355.00 |9,390.00  |-10.00    |25.00     |220       |1,805       |49       |1,032.88     |                       
2025-01-02 |CJ509        |9,510.00   |9,520.00 |9,585.00 |9,465.00 |9,515.00 |9,545.00  |5.00      |35.00     |1,883     |13,149      |324      |8,984.30     |                       
2025-01-02 |CJ512        |10,090.00  |10,060.00|10,135.00|9,985.00 |10,060.00|10,085.00 |-30.00    |-5.00     |149       |954         |16       |751.36       |                       
2025-01-03 |CJ501        |8,770.00   |8,750.00 |8,750.00 |8,700.00 |8,735.00 |8,720.00  |-35.00    |-50.00    |93        |712         |-107     |405.50       |8,980.00               
2025-01-03 |CJ503        |9,065.00   |9,030.00 |9,030.00 |8,855.00 |8,925.00 |8,920.00  |-140.00   |-145.00   |1,594     |5,018       |-173     |7,110.24     |                       
2025-01-03 |CJ505        |9,250.00   |9,235.00 |9,235.00 |9,010.00 |9,100.00 |9,105.00  |-150.00   |-145.00   |79,039    |117,218     |2,719    |359,774.98   |                       
2025-01-03 |CJ507        |9,390.00   |9,355.00 |9,355.00 |9,180.00 |9,250.00 |9,260.00  |-140.00   |-130.00   |537       |1,807       |2        |2,486.64     |                       
2025-01-03 |CJ509        |9,545.00   |9,525.00 |9,525.00 |9,320.00 |9,400.00 |9,405.00  |-145.00   |-140.00   |4,643     |13,601      |452      |21,835.70    |                       
2025-01-03 |CJ512        |10,085.00  |10,080.00|10,090.00|9,910.00 |10,015.00|9,975.00  |-70.00    |-110.00   |338       |1,025       |71       |1,686.14     |                       
2025-01-06 |CJ501        |8,720.00   |8,740.00 |8,795.00 |8,735.00 |8,795.00 |8,740.00  |75.00     |20.00     |217       |480         |-232     |947.26       |8,950.00               
2025-01-06 |CJ503        |8,920.00   |8,945.00 |9,000.00 |8,885.00 |8,905.00 |8,930.00  |-15.00    |10.00     |834       |5,224       |206      |3,723.02     |                       
2025-01-06 |CJ505        |9,105.00   |9,115.00 |9,175.00 |9,070.00 |9,100.00 |9,125.00  |-5.00     |20.00     |38,126    |114,947     |-2,271   |173,922.67   |                       
