"Date","Close"
"5/6/2005","354.72"
"5/9/2005","358.44"
"5/10/2005","361.46"
"5/11/2005","355.70"
"5/12/2005","348.01"
"5/13/2005","346.45"
"5/16/2005","344.48"
"5/17/2005","347.36"
"5/18/2005","342.47"
"5/19/2005","341.60"
"5/20/2005","341.03"
"5/23/2005","343.84"
"5/24/2005","345.75"
"5/25/2005","351.77"
"5/26/2005","352.08"
"5/27/2005","354.85"
"5/31/2005","354.89"
"6/1/2005","368.97"
"6/2/2005","366.12"
"6/3/2005","373.62"
"6/6/2005","373.83"
"6/7/2005","371.68"
"6/8/2005","366.57"
"6/9/2005","375.83"
"6/10/2005","372.45"
"6/13/2005","382.98"
"6/14/2005","379.88"
"6/15/2005","383.00"
"6/16/2005","387.48"
"6/17/2005","395.56"
"6/20/2005","399.06"
"6/21/2005","393.82"
"6/22/2005","389.87"
"6/23/2005","395.75"
"6/24/2005","396.65"
"6/27/2005","398.23"
"6/28/2005","387.13"
"6/29/2005","382.90"
"6/30/2005","379.79"
"7/1/2005","390.73"
"7/5/2005","398.58"
"7/6/2005","408.29"
"7/7/2005","404.55"
"7/8/2005","399.86"
"7/11/2005","396.21"
"7/12/2005","405.74"
"7/13/2005","403.47"
"7/14/2005","394.84"
"7/15/2005","396.75"
"7/18/2005","392.09"
"7/19/2005","391.87"
"7/20/2005","389.03"
"7/21/2005","383.46"
"7/22/2005","390.42"
"7/25/2005","391.02"
"7/26/2005","392.88"
"7/27/2005","394.32"
"7/28/2005","398.76"
"7/29/2005","402.00"
"8/1/2005","408.71"
"8/2/2005","411.85"
"8/3/2005","406.96"
"8/4/2005","409.81"
"8/5/2005","414.76"
"8/8/2005","422.42"
"8/9/2005","418.88"
"8/10/2005","430.55"
"8/11/2005","437.80"
"8/12/2005","441.01"
"8/15/2005","437.89"
"8/16/2005","438.26"
"8/17/2005","424.20"
"8/18/2005","420.72"
"8/19/2005","429.99"
"8/22/2005","432.30"
"8/23/2005","432.87"
"8/24/2005","441.09"
"8/25/2005","441.26"
"8/26/2005","436.01"
"8/29/2005","448.65"
"8/30/2005","467.57"
"8/31/2005","465.15"
"9/1/2005","475.25"
"9/2/2005","462.11"
"9/6/2005","454.59"
"9/7/2005","443.86"
"9/8/2005","444.47"
"9/9/2005","442.62"
"9/12/2005","435.79"
"9/13/2005","435.76"
"9/14/2005","447.61"
"9/15/2005","445.63"
"9/16/2005","435.33"
"9/19/2005","464.74"
"9/20/2005","457.29"
"9/21/2005","461.41"
"9/22/2005","463.32"
"9/23/2005","450.65"
"9/26/2005","462.10"
"9/27/2005","460.56"
"9/28/2005","473.23"
"9/29/2005","473.64"
"9/30/2005","469.56"
"10/3/2005","467.00"
"10/4/2005","460.71"
"10/5/2005","454.96"
"10/6/2005","442.73"
"10/7/2005","444.33"
"10/10/2005","443.53"
"10/11/2005","453.85"
"10/12/2005","456.36"
"10/13/2005","450.15"
"10/14/2005","445.68"
"10/17/2005","455.86"
"10/18/2005","446.40"
"10/19/2005","442.18"
"10/20/2005","432.57"
"10/21/2005","433.64"
"10/24/2005","430.71"
"10/25/2005","448.08"
"10/26/2005","438.77"
"10/27/2005","437.54"
"10/28/2005","434.97"
"10/31/2005","422.88"
"11/1/2005","421.05"
"11/2/2005","418.45"
"11/3/2005","427.85"
"11/4/2005","421.83"
"11/7/2005","421.29"
"11/8/2005","423.74"
"11/9/2005","422.85"
"11/10/2005","417.54"
"11/11/2005","420.38"
"11/14/2005","420.93"
"11/15/2005","416.44"
"11/16/2005","423.77"
"11/17/2005","417.21"
"11/18/2005","413.85"
"11/21/2005","414.83"
"11/22/2005","420.08"
"11/23/2005","417.51"
"11/25/2005","416.61"
"11/28/2005","410.15"
"11/29/2005","407.74"
"11/30/2005","415.91"
"12/1/2005","425.41"
"12/2/2005","434.23"
"12/5/2005","436.14"
"12/6/2005","433.58"
"12/7/2005","432.78"
"12/8/2005","447.48"
"12/9/2005","440.07"
"12/12/2005","451.52"
"12/13/2005","457.55"
"12/14/2005","451.89"
"12/15/2005","443.40"
"12/16/2005","434.19"
"12/19/2005","431.77"
"12/20/2005","432.17"
"12/21/2005","435.46"
"12/22/2005","428.68"
"12/23/2005","425.45"
"12/27/2005","417.01"
"12/28/2005","426.76"
"12/29/2005","427.14"
"12/30/2005","431.72"
"1/3/2006","438.18"
"1/4/2006","438.55"
"1/5/2006","432.10"
"1/6/2006","437.91"
"1/9/2006","433.59"
"1/10/2006","432.56"
"1/11/2006","432.88"
"1/12/2006","433.03"
"1/13/2006","434.42"
"1/17/2006","446.90"
"1/18/2006","440.70"
"1/19/2006","446.41"
"1/20/2006","454.65"
"1/23/2006","450.46"
"1/24/2006","447.06"
"1/25/2006","441.09"
"1/26/2006","442.12"
"1/27/2006","449.05"
"1/30/2006","456.67"
"1/31/2006","453.92"
"2/1/2006","445.35"
"2/2/2006","436.27"
"2/3/2006","440.73"
"2/6/2006","435.99"
"2/7/2006","426.60"
"2/8/2006","425.37"
"2/9/2006","426.36"
"2/10/2006","420.83"
"2/13/2006","418.43"
"2/14/2006","412.21"
"2/15/2006","405.47"
"2/16/2006","409.46"
"2/17/2006","416.17"
"2/21/2006","425.11"
"2/22/2006","415.78"
"2/23/2006","415.27"
"2/24/2006","423.94"
"2/27/2006","411.99"
"2/28/2006","415.86"
"3/1/2006","418.37"
"3/2/2006","427.05"
"3/3/2006","429.69"
"3/6/2006","420.10"
"3/7/2006","415.80"
"3/8/2006","410.96"
"3/9/2006","415.99"
"3/10/2006","415.19"
"3/13/2006","425.40"
"3/14/2006","434.08"
"3/15/2006","429.28"
"3/16/2006","433.90"
"3/17/2006","430.43"
"3/20/2006","420.03"
"3/21/2006","422.81"
"3/22/2006","419.31"
"3/23/2006","430.20"
"3/24/2006","432.01"
"3/27/2006","431.22"
"3/28/2006","439.80"
"3/29/2006","442.65"
"3/30/2006","447.38"
"3/31/2006","442.52"
"4/3/2006","445.18"
"4/4/2006","441.25"
"4/5/2006","446.65"
"4/6/2006","451.48"
"4/7/2006","448.56"
"4/10/2006","458.06"
"4/11/2006","461.95"
"4/12/2006","464.10"
"4/13/2006","469.21"
"4/17/2006","477.31"
"4/18/2006","487.83"
"4/19/2006","492.90"
"4/20/2006","488.05"
"4/21/2006","496.18"
"4/24/2006","485.92"
"4/25/2006","485.10"
"4/26/2006","481.23"
"4/27/2006","470.91"
"4/28/2006","474.79"
"5/1/2006","484.02"
"5/2/2006","488.93"
"5/3/2006","477.24"
"5/4/2006","469.87"
"5/5/2006","473.91"
"5/8/2006","471.96"
"5/9/2006","479.90"
"5/10/2006","491.84"
"5/11/2006","500.53"
"5/12/2006","492.06"
"5/15/2006","475.06"
"5/16/2006","475.85"
"5/17/2006","470.43"
"5/18/2006","472.06"
"5/19/2006","464.99"
"5/22/2006","469.94"
"5/23/2006","482.03"
"5/24/2006","467.57"
"5/25/2006","475.11"
"5/26/2006","477.62"
"5/30/2006","478.96"
"5/31/2006","474.55"
"6/1/2006","471.28"
"6/2/2006","482.14"
"6/5/2006","481.53"
"6/6/2006","478.01"
"6/7/2006","472.04"
"6/8/2006","468.75"
"6/9/2006","475.56"
"6/12/2006","471.10"
"6/13/2006","459.93"
"6/14/2006","462.52"
"6/15/2006","468.95"
"6/16/2006","469.61"
"6/19/2006","462.71"
"6/20/2006","461.16"
"6/21/2006","467.26"
"6/22/2006","469.55"
"6/23/2006","468.08"
"6/26/2006","472.71"
"6/27/2006","473.45"
"6/28/2006","473.47"
"6/29/2006","481.92"
"6/30/2006","484.68"
"7/3/2006","485.43"
"7/5/2006","489.08"
"7/6/2006","490.90"
"7/7/2006","484.71"
"7/10/2006","482.01"
"7/11/2006","488.67"
"7/12/2006","494.35"
"7/13/2006","504.97"
"7/14/2006","509.63"
"7/17/2006","496.67"
"7/18/2006","488.43"
"7/19/2006","486.47"
"7/20/2006","484.11"
"7/21/2006","484.07"
"7/24/2006","489.19"
"7/25/2006","483.94"
"7/26/2006","487.19"
"7/27/2006","491.65"
"7/28/2006","486.62"
"7/31/2006","498.25"
"8/1/2006","498.42"
"8/2/2006","505.63"
"8/3/2006","498.66"
"8/4/2006","497.00"
"8/7/2006","504.99"
"8/8/2006","503.37"
"8/9/2006","506.78"
"8/10/2006","495.28"
"8/11/2006","495.60"
"8/14/2006","487.26"
"8/15/2006","485.82"
"8/16/2006","482.24"
"8/17/2006","471.67"
"8/18/2006","475.12"
"8/21/2006","480.52"
"8/22/2006","482.33"
"8/23/2006","475.52"
"8/24/2006","479.10"
"8/25/2006","481.09"
"8/28/2006","468.41"
"8/29/2006","464.85"
"8/30/2006","464.27"
"8/31/2006","465.87"
"9/1/2006","459.01"
"9/5/2006","457.14"
"9/6/2006","453.26"
"9/7/2006","450.23"
"9/8/2006","446.41"
"9/11/2006","441.62"
"9/12/2006","437.24"
"9/13/2006","438.39"
"9/14/2006","433.73"
"9/15/2006","431.58"
"9/18/2006","434.97"
"9/19/2006","426.51"
"9/20/2006","418.32"
"9/21/2006","423.57"
"9/22/2006","418.02"
"9/25/2006","418.93"
"9/26/2006","419.20"
"9/27/2006","426.00"
"9/28/2006","426.63"
"9/29/2006","428.05"
"10/2/2006","420.17"
"10/3/2006","409.68"
"10/4/2006","413.81"
"10/5/2006","420.18"
"10/6/2006","422.78"
"10/9/2006","430.29"
"10/10/2006","426.50"
"10/11/2006","426.85"
"10/12/2006","429.89"
"10/13/2006","434.76"
"10/16/2006","444.44"
"10/17/2006","440.21"
"10/18/2006","434.07"
"10/19/2006","439.84"
"10/20/2006","435.27"
"10/23/2006","432.35"
"10/24/2006","435.89"
"10/25/2006","447.01"
"10/26/2006","441.28"
"10/27/2006","441.86"
"10/30/2006","428.43"
"10/31/2006","429.22"
"11/1/2006","429.56"
"11/2/2006","428.24"
"11/3/2006","434.04"
"11/6/2006","437.10"
"11/7/2006","436.33"
"11/8/2006","442.28"
"11/9/2006","452.52"
"11/10/2006","444.16"
"11/13/2006","441.78"
"11/14/2006","441.11"
"11/15/2006","445.28"
"11/16/2006","434.56"
"11/17/2006","436.96"
"11/20/2006","437.07"
"11/21/2006","445.00"
"11/22/2006","438.53"
"11/24/2006","441.91"
"11/27/2006","446.79"
"11/28/2006","450.13"
"11/29/2006","458.62"
"11/30/2006","463.66"
"12/1/2006","462.42"
"12/4/2006","453.13"
"12/5/2006","453.19"
"12/6/2006","449.25"
"12/7/2006","449.50"
"12/8/2006","448.15"
"12/11/2006","445.45"
"12/12/2006","444.49"
"12/13/2006","446.85"
"12/14/2006","452.50"
"12/15/2006","453.04"
"12/18/2006","445.08"
"12/19/2006","447.94"
"12/20/2006","447.62"
"12/21/2006","443.09"
"12/22/2006","442.29"
"12/26/2006","433.89"
"12/27/2006","431.05"
"12/28/2006","432.35"
"12/29/2006","433.65"
"1/2/2007","432.13"
"1/3/2007","417.23"
"1/4/2007","405.26"
"1/5/2007","406.35"
"1/8/2007","406.82"
"1/9/2007","406.05"
"1/10/2007","403.37"
"1/11/2007","395.42"
"1/12/2007","402.41"
"1/16/2007","394.76"
"1/17/2007","397.96"
"1/18/2007","392.65"
"1/19/2007","402.58"
"1/22/2007","402.50"
"1/23/2007","414.74"
"1/24/2007","414.46"
"1/25/2007","408.76"
"1/26/2007","414.31"
"1/29/2007","405.20"
"1/30/2007","420.67"
"1/31/2007","427.22"
"2/1/2007","422.53"
"2/2/2007","427.71"
"2/5/2007","427.62"
"2/6/2007","427.75"
"2/7/2007","423.65"
"2/8/2007","433.64"
"2/9/2007","436.62"
"2/12/2007","424.85"
"2/13/2007","434.36"
"2/14/2007","428.01"
"2/15/2007","429.17"
"2/16/2007","436.49"
"2/20/2007","431.49"
"2/21/2007","439.41"
"2/22/2007","446.84"
"2/23/2007","450.03"
"2/26/2007","450.96"
"2/27/2007","449.28"
"2/28/2007","448.49"
"3/1/2007","448.51"
"3/2/2007","445.60"
"3/5/2007","437.39"
"3/6/2007","441.55"
"3/7/2007","448.70"
"3/8/2007","449.86"
"3/9/2007","443.22"
"3/12/2007","440.14"
"3/13/2007","439.29"
"3/14/2007","440.35"
"3/15/2007","438.81"
"3/16/2007","438.06"
"3/19/2007","437.82"
"3/20/2007","436.40"
"3/21/2007","438.50"
"3/22/2007","448.76"
"3/23/2007","449.43"
"3/26/2007","453.37"
"3/27/2007","454.09"
"3/28/2007","459.88"
"3/29/2007","468.15"
"3/30/2007","468.12"
"4/2/2007","467.16"
"4/3/2007","462.32"
"4/4/2007","465.94"
"4/5/2007","466.79"
"4/9/2007","459.32"
"4/10/2007","466.67"
"4/11/2007","468.95"
"4/12/2007","475.72"
"4/13/2007","477.84"
"4/16/2007","471.88"
"4/17/2007","467.26"
"4/18/2007","466.67"
"4/19/2007","463.81"
"4/20/2007","467.16"
"4/23/2007","475.31"
"4/24/2007","469.27"
"4/25/2007","476.47"
"4/26/2007","471.15"
"4/27/2007","477.69"
"4/30/2007","474.46"
"5/1/2007","470.97"
"5/2/2007","467.17"
"5/3/2007","467.96"
"5/4/2007","465.71"
"5/7/2007","462.23"
"5/8/2007","464.37"
"5/9/2007","462.77"
"5/10/2007","464.84"
"5/11/2007","472.12"
"5/14/2007","469.69"
"5/15/2007","473.76"
"5/16/2007","471.05"
"5/17/2007","478.58"
"5/18/2007","477.37"
"5/21/2007","482.67"
"5/22/2007","474.64"
"5/23/2007","475.78"
"5/24/2007","471.40"
"5/25/2007","475.65"
"5/29/2007","465.36"
"5/30/2007","467.59"
"5/31/2007","470.65"
"6/1/2007","475.76"
"6/4/2007","483.24"
"6/5/2007","480.41"
"6/6/2007","479.98"
"6/7/2007","482.48"
"6/8/2007","471.16"
"6/11/2007","479.24"
"6/12/2007","477.34"
"6/13/2007","483.64"
"6/14/2007","492.48"
"6/15/2007","495.60"
"6/18/2007","498.03"
"6/19/2007","493.36"
"6/20/2007","490.62"
"6/21/2007","489.18"
"6/22/2007","488.81"
"6/25/2007","487.92"
"6/26/2007","481.15"
"6/27/2007","485.28"
"6/28/2007","485.51"
"6/29/2007","489.15"
"7/2/2007","492.03"
"7/3/2007","493.05"
"7/5/2007","496.97"
"7/6/2007","500.66"
"7/9/2007","499.91"
"7/10/2007","504.66"
"7/11/2007","503.76"
"7/12/2007","504.71"
"7/13/2007","509.59"
"7/16/2007","504.15"
"7/17/2007","501.37"
"7/18/2007","509.86"
"7/19/2007","514.71"
"7/20/2007","513.13"
"7/23/2007","505.53"
"7/24/2007","499.69"
"7/25/2007","505.81"
"7/26/2007","502.50"
"7/27/2007","509.65"
"7/30/2007","509.99"
"7/31/2007","515.94"
"8/1/2007","508.94"
"8/2/2007","508.87"
"8/3/2007","503.22"
"8/6/2007","489.13"
"8/7/2007","491.33"
"8/8/2007","490.83"
"8/9/2007","489.49"
"8/10/2007","489.82"
"8/13/2007","491.47"
"8/14/2007","493.10"
"8/15/2007","496.96"
"8/16/2007","481.95"
"8/17/2007","489.07"
"8/20/2007","480.81"
"8/21/2007","475.29"
"8/22/2007","475.46"
"8/23/2007","479.97"
"8/24/2007","485.24"
"8/27/2007","486.48"
"8/28/2007","485.60"
"8/29/2007","492.35"
"8/30/2007","493.02"
"8/31/2007","495.30"
"9/4/2007","501.27"
"9/5/2007","503.84"
"9/6/2007","506.20"
"9/7/2007","507.45"
"9/10/2007","513.17"
"9/11/2007","519.20"
"9/12/2007","527.76"
"9/13/2007","527.03"
"9/14/2007","526.27"
"9/17/2007","533.12"
"9/18/2007","536.27"
"9/19/2007","539.25"
"9/20/2007","543.61"
"9/21/2007","544.57"
"9/24/2007","544.04"
"9/25/2007","537.45"
"9/26/2007","539.64"
"9/27/2007","551.49"
"9/28/2007","546.13"
"10/1/2007","540.73"
"10/2/2007","537.94"
"10/3/2007","537.89"
"10/4/2007","543.51"
"10/5/2007","541.59"
"10/8/2007","528.61"
"10/9/2007","534.53"
"10/10/2007","541.32"
"10/11/2007","549.80"
"10/12/2007","550.70"
"10/15/2007","561.71"
"10/16/2007","566.12"
"10/17/2007","564.45"
"10/18/2007","572.33"
"10/19/2007","567.85"
"10/22/2007","562.58"
"10/23/2007","558.64"
"10/24/2007","564.31"
"10/25/2007","579.09"
"10/26/2007","585.67"
"10/29/2007","594.74"
"10/30/2007","581.76"
"10/31/2007","599.31"
"11/1/2007","594.46"
"11/2/2007","604.70"
"11/5/2007","595.78"
"11/6/2007","608.48"
"11/7/2007","606.21"
"11/8/2007","603.94"
"11/9/2007","607.24"
"11/12/2007","599.04"
"11/13/2007","585.24"
"11/14/2007","597.17"
"11/15/2007","591.92"
"11/16/2007","599.40"
"11/19/2007","599.40"
"11/20/2007","613.72"
"11/21/2007","611.24"
"11/23/2007","617.74"
"11/26/2007","615.68"
"11/27/2007","601.85"
"11/28/2007","587.50"
"11/29/2007","589.09"
"11/30/2007","577.99"
"12/3/2007","578.82"
"12/4/2007","576.74"
"12/5/2007","573.44"
"12/6/2007","583.74"
"12/7/2007","578.38"
"12/10/2007","576.31"
"12/11/2007","584.37"
"12/12/2007","605.31"
"12/13/2007","596.79"
"12/14/2007","594.47"
"12/17/2007","591.43"
"12/18/2007","587.15"
"12/19/2007","593.94"
"12/20/2007","592.01"
"12/21/2007","601.17"
"12/24/2007","602.59"
"12/26/2007","611.16"
"12/27/2007","614.13"
"12/28/2007","610.23"
"12/31/2007","610.17"
"1/2/2008","629.98"
"1/3/2008","630.74"
"1/4/2008","624.94"
"1/7/2008","611.67"
"1/8/2008","620.91"
"1/9/2008","616.89"
"1/10/2008","607.43"
"1/11/2008","605.85"
"1/14/2008","615.28"
"1/15/2008","604.95"
"1/16/2008","596.73"
"1/17/2008","594.47"
"1/18/2008","597.16"
"1/22/2008","589.53"
"1/23/2008","576.74"
"1/24/2008","590.07"
"1/25/2008","599.52"
"1/28/2008","603.29"
"1/29/2008","607.34"
"1/30/2008","609.13"
"1/31/2008","608.38"
"2/1/2008","595.56"
"2/4/2008","602.38"
"2/5/2008","595.35"
"2/6/2008","592.64"
"2/7/2008","599.84"
"2/8/2008","619.94"
"2/11/2008","628.52"
"2/12/2008","623.05"
"2/13/2008","625.03"
"2/14/2008","638.97"
"2/15/2008","638.00"
"2/19/2008","660.61"
"2/20/2008","660.58"
"2/21/2008","656.58"
"2/22/2008","660.43"
"2/25/2008","665.36"
"2/26/2008","676.30"
"2/27/2008","672.87"
"2/28/2008","685.69"
"2/29/2008","679.78"
"3/3/2008","685.28"
"3/4/2008","669.19"
"3/5/2008","694.56"
"3/6/2008","696.52"
"3/7/2008","692.93"
"3/10/2008","703.04"
"3/11/2008","708.46"
"3/12/2008","715.30"
"3/13/2008","718.46"
"3/14/2008","712.69"
"3/17/2008","681.77"
"3/18/2008","703.59"
"3/19/2008","671.12"
"3/20/2008","661.58"
"3/24/2008","662.63"
"3/25/2008","669.26"
"3/26/2008","688.13"
"3/27/2008","695.40"
"3/28/2008","686.35"
"3/31/2008","668.91"
"4/1/2008","662.53"
"4/2/2008","681.02"
"4/3/2008","676.96"
"4/4/2008","688.49"
"4/7/2008","701.40"
"4/8/2008","697.68"
"4/9/2008","712.95"
"4/10/2008","710.99"
"4/11/2008","708.72"
"4/14/2008","714.82"
"4/15/2008","725.70"
"4/16/2008","734.09"
"4/17/2008","732.57"
"4/18/2008","738.17"
"4/21/2008","737.33"
"4/22/2008","745.96"
"4/23/2008","746.15"
"4/24/2008","735.03"
"4/25/2008","744.92"
"4/28/2008","748.13"
"4/29/2008","730.12"
"4/30/2008","721.07"
"5/1/2008","711.34"
"5/2/2008","731.33"
"5/5/2008","747.59"
"5/6/2008","758.19"
"5/7/2008","765.89"
"5/8/2008","769.72"
"5/9/2008","782.70"
"5/12/2008","774.43"
"5/13/2008","782.74"
"5/14/2008","774.97"
"5/15/2008","773.97"
"5/16/2008","783.13"
"5/19/2008","782.80"
"5/20/2008","796.33"
"5/21/2008","816.75"
"5/22/2008","805.81"
"5/23/2008","812.19"
"5/27/2008","797.52"
"5/28/2008","805.35"
"5/29/2008","781.74"
"5/30/2008","786.58"
"6/2/2008","792.18"
"6/3/2008","777.61"
"6/4/2008","767.16"
"6/5/2008","792.91"
"6/6/2008","842.24"
"6/9/2008","825.30"
"6/10/2008","815.40"
"6/11/2008","842.68"
"6/12/2008","845.82"
"6/13/2008","839.90"
"6/16/2008","842.41"
"6/17/2008","840.44"
"6/18/2008","852.19"
"6/19/2008","830.35"
"6/20/2008","843.13"
"6/23/2008","848.68"
"6/24/2008","847.82"
"6/25/2008","837.43"
"6/26/2008","865.09"
"6/27/2008","866.94"
"6/30/2008","862.70"
"7/1/2008","869.01"
"7/2/2008","882.86"
"7/3/2008","890.29"
"7/7/2008","864.99"
"7/8/2008","836.97"
"7/9/2008","838.15"
"7/10/2008","865.37"
"7/11/2008","879.64"
"7/14/2008","877.46"
"7/15/2008","846.38"
"7/16/2008","830.06"
"7/17/2008","803.42"
"7/18/2008","795.97"
"7/21/2008","803.69"
"7/22/2008","786.74"
"7/23/2008","766.81"
"7/24/2008","767.51"
"7/25/2008","759.08"
"7/28/2008","765.57"
"7/29/2008","753.41"
"7/30/2008","771.96"
"7/31/2008","760.20"
"8/1/2008","762.52"
"8/4/2008","738.47"
"8/5/2008","727.42"
"8/6/2008","723.01"
"8/7/2008","730.44"
"8/8/2008","704.18"
"8/11/2008","702.68"
"8/12/2008","696.18"
"8/13/2008","714.13"
"8/14/2008","708.98"
"8/15/2008","699.35"
"8/18/2008","698.13"
"8/19/2008","706.21"
"8/20/2008","712.75"
"8/21/2008","743.97"
"8/22/2008","711.40"
"8/25/2008","711.63"
"8/26/2008","717.94"
"8/27/2008","725.68"
"8/28/2008","710.36"
"8/29/2008","708.16"
"9/2/2008","677.06"
"9/3/2008","675.26"
"9/4/2008","668.94"
"9/5/2008","657.65"
"9/8/2008","659.79"
"9/9/2008","644.93"
"9/10/2008","639.88"
"9/11/2008","634.64"
"9/12/2008","640.32"
"9/15/2008","615.37"
"9/16/2008","590.94"
"9/17/2008","619.14"
"9/18/2008","617.59"
"9/19/2008","640.45"
"9/22/2008","672.87"
"9/23/2008","660.85"
"9/24/2008","657.07"
"9/25/2008","665.42"
"9/26/2008","657.02"
"9/29/2008","606.66"
"9/30/2008","622.24"
"10/1/2008","613.21"
"10/2/2008","585.71"
"10/3/2008","583.44"
"10/6/2008","547.02"
"10/7/2008","554.07"
"10/8/2008","550.02"
"10/9/2008","544.12"
"10/10/2008","500.05"
"10/13/2008","520.44"
"10/14/2008","509.39"
"10/15/2008","485.68"
"10/16/2008","464.11"
"10/17/2008","474.74"
"10/20/2008","483.67"
"10/21/2008","473.25"
"10/22/2008","445.22"
"10/23/2008","447.28"
"10/24/2008","427.96"
"10/27/2008","427.16"
"10/28/2008","425.42"
"10/29/2008","454.27"
"10/30/2008","440.80"
"10/31/2008","449.46"
"11/3/2008","434.73"
"11/4/2008","467.26"
"11/5/2008","442.51"
"11/6/2008","418.95"
"11/7/2008","420.39"
"11/10/2008","431.37"
"11/11/2008","414.86"
"11/12/2008","401.00"
"11/13/2008","410.28"
"11/14/2008","405.22"
"11/17/2008","395.99"
"11/18/2008","391.58"
"11/19/2008","388.78"
"11/20/2008","366.39"
"11/21/2008","368.39"
"11/24/2008","393.94"
"11/25/2008","376.62"
"11/26/2008","394.27"
"11/28/2008","390.65"
"12/1/2008","365.79"
"12/2/2008","354.70"
"12/3/2008","351.54"
"12/4/2008","334.17"
"12/5/2008","318.00"
"12/8/2008","336.12"
"12/9/2008","330.78"
"12/10/2008","340.23"
"12/11/2008","363.32"
"12/12/2008","356.56"
"12/15/2008","352.13"
"12/16/2008","351.47"
"12/17/2008","345.38"
"12/18/2008","333.82"
"12/19/2008","333.71"
"12/22/2008","324.23"
"12/23/2008","322.26"
"12/24/2008","308.58"
"12/26/2008","318.01"
"12/29/2008","327.16"
"12/30/2008","324.85"
"12/31/2008","349.04"
"1/2/2009","359.02"
"1/5/2009","371.33"
"1/6/2009","377.05"
"1/7/2009","351.25"
"1/8/2009","347.32"
"1/9/2009","349.61"
"1/12/2009","337.13"
"1/13/2009","345.44"
"1/14/2009","345.67"
"1/15/2009","344.03"
"1/16/2009","343.10"
