"Date","Close"
"3/30/2011","711.21"
"3/31/2011","725.62"
"4/1/2011","731.44"
"4/4/2011","738.02"
"4/5/2011","740.75"
"4/6/2011","742.09"
"4/7/2011","745.01"
"4/8/2011","760.33"
"4/11/2011","750.27"
"4/12/2011","730.63"
"4/13/2011","735.25"
"4/14/2011","736.23"
"4/15/2011","742.76"
"4/18/2011","733.69"
"4/19/2011","735.49"
"4/20/2011","748.41"
"4/21/2011","752.06"
"4/25/2011","752.54"
"4/26/2011","751.90"
"4/27/2011","752.30"
"4/28/2011","751.20"
"4/29/2011","758.79"
"5/2/2011","754.34"
"5/3/2011","742.87"
"5/4/2011","731.54"
"5/5/2011","683.83"
"5/6/2011","674.16"
"5/9/2011","698.46"
"5/10/2011","708.51"
"5/11/2011","681.00"
"5/12/2011","681.14"
"5/13/2011","683.61"
"5/16/2011","675.74"
"5/17/2011","672.92"
"5/18/2011","691.04"
"5/19/2011","683.26"
"5/20/2011","688.52"
"5/23/2011","676.81"
"5/24/2011","684.77"
"5/25/2011","696.53"
"5/26/2011","694.56"
"5/27/2011","698.72"
"5/31/2011","707.26"
"6/1/2011","696.57"
"6/2/2011","698.50"
"6/3/2011","699.77"
"6/6/2011","692.04"
"6/7/2011","696.62"
"6/8/2011","703.56"
"6/9/2011","710.27"
"6/10/2011","701.79"
"6/13/2011","695.14"
"6/14/2011","701.44"
"6/15/2011","677.71"
"6/16/2011","674.81"
"6/17/2011","669.11"
"6/20/2011","666.98"
"6/21/2011","668.47"
"6/22/2011","673.22"
"6/23/2011","648.75"
"6/24/2011","644.89"
"6/27/2011","642.82"
"6/28/2011","656.96"
"6/29/2011","670.47"
"6/30/2011","668.85"
"7/1/2011","664.31"
"7/5/2011","675.35"
"7/6/2011","673.73"
"7/7/2011","690.88"
"7/8/2011","685.60"
"7/11/2011","680.28"
"7/12/2011","689.80"
"7/13/2011","698.04"
"7/14/2011","688.41"
"7/15/2011","693.94"
"7/18/2011","687.62"
"7/19/2011","694.61"
"7/20/2011","696.40"
"7/21/2011","695.41"
"7/22/2011","701.57"
"7/25/2011","697.50"
"7/26/2011","701.37"
"7/27/2011","694.82"
"7/28/2011","693.18"
"7/29/2011","686.08"
"8/1/2011","684.08"
"8/2/2011","683.81"
"8/3/2011","671.59"
"8/4/2011","644.95"
"8/5/2011","645.75"
"8/8/2011","620.60"
"8/9/2011","614.58"
"8/10/2011","630.08"
"8/11/2011","643.41"
"8/12/2011","643.08"
"8/15/2011","653.35"
"8/16/2011","650.41"
"8/17/2011","656.92"
"8/18/2011","635.30"
"8/19/2011","641.46"
"8/22/2011","646.06"
"8/23/2011","652.46"
"8/24/2011","650.59"
"8/25/2011","653.07"
"8/26/2011","657.84"
"8/29/2011","662.94"
"8/30/2011","672.52"
"8/31/2011","674.69"
"9/1/2011","670.38"
"9/2/2011","661.63"
"9/6/2011","658.07"
"9/7/2011","671.99"
"9/8/2011","669.72"
"9/9/2011","657.08"
"9/12/2011","656.32"
"9/13/2011","658.51"
"9/14/2011","654.75"
"9/15/2011","658.58"
"9/16/2011","653.10"
"9/19/2011","638.96"
"9/20/2011","643.65"
"9/21/2011","638.54"
"9/22/2011","607.49"
"9/23/2011","599.25"
"9/26/2011","600.37"
"9/27/2011","620.02"
"9/28/2011","603.55"
"9/29/2011","606.79"
