,FREQ,EER_TYPE,EER_BASKET,REF_AREA,UNIT_MEASURE,TIME_FORMAT,COLLECTION,TITLE_TS,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_CONF,OBS_PRE_BREAK
75,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-06-25,67.24,A,F,
76,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-06-26,67.23,A,F,
77,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-06-27,67.11,A,F,
78,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-06-28,67.23,A,F,
79,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-06-29,,H,F,
80,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-06-30,,H,F,
81,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-07-01,67.18,A,F,
82,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-07-02,67.3,A,F,
83,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-07-03,67.37,A,F,
84,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-07-04,67.25,A,F,
85,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-07-05,67.41,A,F,
86,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-07-06,,H,F,
87,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-07-07,,H,F,
88,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-07-08,67.51,A,F,
89,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-07-09,67.39,A,F,
90,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-07-10,67.35,A,F,
91,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-07-11,67.41,A,F,
92,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-07-12,67.34,A,F,
93,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-07-13,,H,F,
94,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-07-14,,H,F,
95,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-07-15,67.46,A,F,
96,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-07-16,67.08,A,F,
97,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-07-17,66.9,A,F,
98,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-07-18,66.88,A,F,
99,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-07-19,66.81,A,F,
100,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-07-20,,H,F,
101,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-07-21,,H,F,
102,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-07-22,66.73,A,F,
103,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-07-23,66.64,A,F,
104,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-07-24,66.7,A,F,
105,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-07-25,66.61,A,F,
106,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-07-26,66.82,A,F,
107,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-07-27,,H,F,
108,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-07-28,,H,F,
109,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-07-29,66.82,A,F,
110,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-07-30,66.69,A,F,
111,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-07-31,66.47,A,F,
112,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-08-01,66.57,A,F,
113,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-08-02,66.61,A,F,
114,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-08-03,,H,F,
115,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-08-04,,H,F,
116,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-08-05,66.57,A,F,
117,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-08-06,66.68,A,F,
118,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-08-07,66.74,A,F,
119,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-08-08,66.84,A,F,
120,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-08-09,66.81,A,F,
121,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-08-10,,H,F,
122,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-08-11,,H,F,
123,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-08-12,66.75,A,F,
124,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-08-13,66.74,A,F,
125,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-08-14,66.84,A,F,
126,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-08-15,66.85,A,F,
127,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-08-16,66.87,A,F,
128,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-08-17,,H,F,
129,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-08-18,,H,F,
130,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-08-19,66.88,A,F,
131,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-08-20,66.9,A,F,
132,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-08-21,66.88,A,F,
133,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-08-22,66.99,A,F,
134,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-08-23,66.91,A,F,
135,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-08-24,,H,F,
136,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-08-25,,H,F,
137,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-08-26,66.75,A,F,
138,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-08-27,66.75,A,F,
139,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-08-28,66.81,A,F,
140,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-08-29,66.83,A,F,
141,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-08-30,66.94,A,F,
142,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-08-31,,H,F,
143,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-09-01,,H,F,
144,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-09-02,66.98,A,F,
145,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-09-03,67.07,A,F,
146,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-09-04,66.98,A,F,
147,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-09-05,66.97,A,F,
148,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-09-06,67.01,A,F,
149,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-09-07,,H,F,
150,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-09-08,,H,F,
151,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-09-09,67.02,A,F,
152,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-09-10,67.22,A,F,
153,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-09-11,67.35,A,F,
154,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-09-12,67.39,A,F,
155,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-09-13,67.42,A,F,
156,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-09-14,,H,F,
157,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-09-15,,H,F,
158,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-09-16,67.49,A,F,
159,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-09-17,67.44,A,F,
160,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-09-18,67.42,A,F,
161,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-09-19,67.26,A,F,
162,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-09-20,67.36,A,F,
163,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-09-21,,H,F,
164,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-09-22,,H,F,
165,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-09-23,67.38,A,F,
166,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-09-24,67.33,A,F,
167,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-09-25,67.34,A,F,
