,FREQ,REF_AREA,UNIT_MEASURE,UNIT_MULT,TIME_FORMAT,COMPILATION,DECIMALS,SOURCE_REF,SUPP_INFO_BREAKS,TITLE,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_CONF,OBS_PRE_BREAK
25,D,CN,368,0,,From 20 Aug 2019 onwards: Loan Prime Rate  (1 year): from 1 Jan 1996 till 19 Aug 2019: Official lending rate (1 year).,4,People's Bank of China,, Central bank policy rates - China - Daily - End of period,1996-01-26,12.06,A,F,
26,D,CN,368,0,,From 20 Aug 2019 onwards: Loan Prime Rate  (1 year): from 1 Jan 1996 till 19 Aug 2019: Official lending rate (1 year).,4,People's Bank of China,, Central bank policy rates - China - Daily - End of period,1996-01-27,12.06,A,F,
27,D,CN,368,0,,From 20 Aug 2019 onwards: Loan Prime Rate  (1 year): from 1 Jan 1996 till 19 Aug 2019: Official lending rate (1 year).,4,People's Bank of China,, Central bank policy rates - China - Daily - End of period,1996-01-28,12.06,A,F,
28,D,CN,368,0,,From 20 Aug 2019 onwards: Loan Prime Rate  (1 year): from 1 Jan 1996 till 19 Aug 2019: Official lending rate (1 year).,4,People's Bank of China,, Central bank policy rates - China - Daily - End of period,1996-01-29,12.06,A,F,
29,D,CN,368,0,,From 20 Aug 2019 onwards: Loan Prime Rate  (1 year): from 1 Jan 1996 till 19 Aug 2019: Official lending rate (1 year).,4,People's Bank of China,, Central bank policy rates - China - Daily - End of period,1996-01-30,12.06,A,F,
30,D,CN,368,0,,From 20 Aug 2019 onwards: Loan Prime Rate  (1 year): from 1 Jan 1996 till 19 Aug 2019: Official lending rate (1 year).,4,People's Bank of China,, Central bank policy rates - China - Daily - End of period,1996-01-31,12.06,A,F,
31,D,CN,368,0,,From 20 Aug 2019 onwards: Loan Prime Rate  (1 year): from 1 Jan 1996 till 19 Aug 2019: Official lending rate (1 year).,4,People's Bank of China,, Central bank policy rates - China - Daily - End of period,1996-02-01,12.06,A,F,
32,D,CN,368,0,,From 20 Aug 2019 onwards: Loan Prime Rate  (1 year): from 1 Jan 1996 till 19 Aug 2019: Official lending rate (1 year).,4,People's Bank of China,, Central bank policy rates - China - Daily - End of period,1996-02-02,12.06,A,F,
33,D,CN,368,0,,From 20 Aug 2019 onwards: Loan Prime Rate  (1 year): from 1 Jan 1996 till 19 Aug 2019: Official lending rate (1 year).,4,People's Bank of China,, Central bank policy rates - China - Daily - End of period,1996-02-03,12.06,A,F,
34,D,CN,368,0,,From 20 Aug 2019 onwards: Loan Prime Rate  (1 year): from 1 Jan 1996 till 19 Aug 2019: Official lending rate (1 year).,4,People's Bank of China,, Central bank policy rates - China - Daily - End of period,1996-02-04,12.06,A,F,
35,D,CN,368,0,,From 20 Aug 2019 onwards: Loan Prime Rate  (1 year): from 1 Jan 1996 till 19 Aug 2019: Official lending rate (1 year).,4,People's Bank of China,, Central bank policy rates - China - Daily - End of period,1996-02-05,12.06,A,F,
36,D,CN,368,0,,From 20 Aug 2019 onwards: Loan Prime Rate  (1 year): from 1 Jan 1996 till 19 Aug 2019: Official lending rate (1 year).,4,People's Bank of China,, Central bank policy rates - China - Daily - End of period,1996-02-06,12.06,A,F,
37,D,CN,368,0,,From 20 Aug 2019 onwards: Loan Prime Rate  (1 year): from 1 Jan 1996 till 19 Aug 2019: Official lending rate (1 year).,4,People's Bank of China,, Central bank policy rates - China - Daily - End of period,1996-02-07,12.06,A,F,
38,D,CN,368,0,,From 20 Aug 2019 onwards: Loan Prime Rate  (1 year): from 1 Jan 1996 till 19 Aug 2019: Official lending rate (1 year).,4,People's Bank of China,, Central bank policy rates - China - Daily - End of period,1996-02-08,12.06,A,F,
39,D,CN,368,0,,From 20 Aug 2019 onwards: Loan Prime Rate  (1 year): from 1 Jan 1996 till 19 Aug 2019: Official lending rate (1 year).,4,People's Bank of China,, Central bank policy rates - China - Daily - End of period,1996-02-09,12.06,A,F,
40,D,CN,368,0,,From 20 Aug 2019 onwards: Loan Prime Rate  (1 year): from 1 Jan 1996 till 19 Aug 2019: Official lending rate (1 year).,4,People's Bank of China,, Central bank policy rates - China - Daily - End of period,1996-02-10,12.06,A,F,
41,D,CN,368,0,,From 20 Aug 2019 onwards: Loan Prime Rate  (1 year): from 1 Jan 1996 till 19 Aug 2019: Official lending rate (1 year).,4,People's Bank of China,, Central bank policy rates - China - Daily - End of period,1996-02-11,12.06,A,F,
42,D,CN,368,0,,From 20 Aug 2019 onwards: Loan Prime Rate  (1 year): from 1 Jan 1996 till 19 Aug 2019: Official lending rate (1 year).,4,People's Bank of China,, Central bank policy rates - China - Daily - End of period,1996-02-12,12.06,A,F,
43,D,CN,368,0,,From 20 Aug 2019 onwards: Loan Prime Rate  (1 year): from 1 Jan 1996 till 19 Aug 2019: Official lending rate (1 year).,4,People's Bank of China,, Central bank policy rates - China - Daily - End of period,1996-02-13,12.06,A,F,
44,D,CN,368,0,,From 20 Aug 2019 onwards: Loan Prime Rate  (1 year): from 1 Jan 1996 till 19 Aug 2019: Official lending rate (1 year).,4,People's Bank of China,, Central bank policy rates - China - Daily - End of period,1996-02-14,12.06,A,F,
45,D,CN,368,0,,From 20 Aug 2019 onwards: Loan Prime Rate  (1 year): from 1 Jan 1996 till 19 Aug 2019: Official lending rate (1 year).,4,People's Bank of China,, Central bank policy rates - China - Daily - End of period,1996-02-15,12.06,A,F,
46,D,CN,368,0,,From 20 Aug 2019 onwards: Loan Prime Rate  (1 year): from 1 Jan 1996 till 19 Aug 2019: Official lending rate (1 year).,4,People's Bank of China,, Central bank policy rates - China - Daily - End of period,1996-02-16,12.06,A,F,
47,D,CN,368,0,,From 20 Aug 2019 onwards: Loan Prime Rate  (1 year): from 1 Jan 1996 till 19 Aug 2019: Official lending rate (1 year).,4,People's Bank of China,, Central bank policy rates - China - Daily - End of period,1996-02-17,12.06,A,F,
48,D,CN,368,0,,From 20 Aug 2019 onwards: Loan Prime Rate  (1 year): from 1 Jan 1996 till 19 Aug 2019: Official lending rate (1 year).,4,People's Bank of China,, Central bank policy rates - China - Daily - End of period,1996-02-18,12.06,A,F,
49,D,CN,368,0,,From 20 Aug 2019 onwards: Loan Prime Rate  (1 year): from 1 Jan 1996 till 19 Aug 2019: Official lending rate (1 year).,4,People's Bank of China,, Central bank policy rates - China - Daily - End of period,1996-02-19,12.06,A,F,
50,D,CN,368,0,,From 20 Aug 2019 onwards: Loan Prime Rate  (1 year): from 1 Jan 1996 till 19 Aug 2019: Official lending rate (1 year).,4,People's Bank of China,, Central bank policy rates - China - Daily - End of period,1996-02-20,12.06,A,F,
51,D,CN,368,0,,From 20 Aug 2019 onwards: Loan Prime Rate  (1 year): from 1 Jan 1996 till 19 Aug 2019: Official lending rate (1 year).,4,People's Bank of China,, Central bank policy rates - China - Daily - End of period,1996-02-21,12.06,A,F,
52,D,CN,368,0,,From 20 Aug 2019 onwards: Loan Prime Rate  (1 year): from 1 Jan 1996 till 19 Aug 2019: Official lending rate (1 year).,4,People's Bank of China,, Central bank policy rates - China - Daily - End of period,1996-02-22,12.06,A,F,
53,D,CN,368,0,,From 20 Aug 2019 onwards: Loan Prime Rate  (1 year): from 1 Jan 1996 till 19 Aug 2019: Official lending rate (1 year).,4,People's Bank of China,, Central bank policy rates - China - Daily - End of period,1996-02-23,12.06,A,F,
54,D,CN,368,0,,From 20 Aug 2019 onwards: Loan Prime Rate  (1 year): from 1 Jan 1996 till 19 Aug 2019: Official lending rate (1 year).,4,People's Bank of China,, Central bank policy rates - China - Daily - End of period,1996-02-24,12.06,A,F,
55,D,CN,368,0,,From 20 Aug 2019 onwards: Loan Prime Rate  (1 year): from 1 Jan 1996 till 19 Aug 2019: Official lending rate (1 year).,4,People's Bank of China,, Central bank policy rates - China - Daily - End of period,1996-02-25,12.06,A,F,
56,D,CN,368,0,,From 20 Aug 2019 onwards: Loan Prime Rate  (1 year): from 1 Jan 1996 till 19 Aug 2019: Official lending rate (1 year).,4,People's Bank of China,, Central bank policy rates - China - Daily - End of period,1996-02-26,12.06,A,F,
57,D,CN,368,0,,From 20 Aug 2019 onwards: Loan Prime Rate  (1 year): from 1 Jan 1996 till 19 Aug 2019: Official lending rate (1 year).,4,People's Bank of China,, Central bank policy rates - China - Daily - End of period,1996-02-27,12.06,A,F,
58,D,CN,368,0,,From 20 Aug 2019 onwards: Loan Prime Rate  (1 year): from 1 Jan 1996 till 19 Aug 2019: Official lending rate (1 year).,4,People's Bank of China,, Central bank policy rates - China - Daily - End of period,1996-02-28,12.06,A,F,
59,D,CN,368,0,,From 20 Aug 2019 onwards: Loan Prime Rate  (1 year): from 1 Jan 1996 till 19 Aug 2019: Official lending rate (1 year).,4,People's Bank of China,, Central bank policy rates - China - Daily - End of period,1996-02-29,12.06,A,F,
60,D,CN,368,0,,From 20 Aug 2019 onwards: Loan Prime Rate  (1 year): from 1 Jan 1996 till 19 Aug 2019: Official lending rate (1 year).,4,People's Bank of China,, Central bank policy rates - China - Daily - End of period,1996-03-01,12.06,A,F,
61,D,CN,368,0,,From 20 Aug 2019 onwards: Loan Prime Rate  (1 year): from 1 Jan 1996 till 19 Aug 2019: Official lending rate (1 year).,4,People's Bank of China,, Central bank policy rates - China - Daily - End of period,1996-03-02,12.06,A,F,
62,D,CN,368,0,,From 20 Aug 2019 onwards: Loan Prime Rate  (1 year): from 1 Jan 1996 till 19 Aug 2019: Official lending rate (1 year).,4,People's Bank of China,, Central bank policy rates - China - Daily - End of period,1996-03-03,12.06,A,F,
63,D,CN,368,0,,From 20 Aug 2019 onwards: Loan Prime Rate  (1 year): from 1 Jan 1996 till 19 Aug 2019: Official lending rate (1 year).,4,People's Bank of China,, Central bank policy rates - China - Daily - End of period,1996-03-04,12.06,A,F,
64,D,CN,368,0,,From 20 Aug 2019 onwards: Loan Prime Rate  (1 year): from 1 Jan 1996 till 19 Aug 2019: Official lending rate (1 year).,4,People's Bank of China,, Central bank policy rates - China - Daily - End of period,1996-03-05,12.06,A,F,
65,D,CN,368,0,,From 20 Aug 2019 onwards: Loan Prime Rate  (1 year): from 1 Jan 1996 till 19 Aug 2019: Official lending rate (1 year).,4,People's Bank of China,, Central bank policy rates - China - Daily - End of period,1996-03-06,12.06,A,F,
66,D,CN,368,0,,From 20 Aug 2019 onwards: Loan Prime Rate  (1 year): from 1 Jan 1996 till 19 Aug 2019: Official lending rate (1 year).,4,People's Bank of China,, Central bank policy rates - China - Daily - End of period,1996-03-07,12.06,A,F,
67,D,CN,368,0,,From 20 Aug 2019 onwards: Loan Prime Rate  (1 year): from 1 Jan 1996 till 19 Aug 2019: Official lending rate (1 year).,4,People's Bank of China,, Central bank policy rates - China - Daily - End of period,1996-03-08,12.06,A,F,
68,D,CN,368,0,,From 20 Aug 2019 onwards: Loan Prime Rate  (1 year): from 1 Jan 1996 till 19 Aug 2019: Official lending rate (1 year).,4,People's Bank of China,, Central bank policy rates - China - Daily - End of period,1996-03-09,12.06,A,F,
69,D,CN,368,0,,From 20 Aug 2019 onwards: Loan Prime Rate  (1 year): from 1 Jan 1996 till 19 Aug 2019: Official lending rate (1 year).,4,People's Bank of China,, Central bank policy rates - China - Daily - End of period,1996-03-10,12.06,A,F,
70,D,CN,368,0,,From 20 Aug 2019 onwards: Loan Prime Rate  (1 year): from 1 Jan 1996 till 19 Aug 2019: Official lending rate (1 year).,4,People's Bank of China,, Central bank policy rates - China - Daily - End of period,1996-03-11,12.06,A,F,
71,D,CN,368,0,,From 20 Aug 2019 onwards: Loan Prime Rate  (1 year): from 1 Jan 1996 till 19 Aug 2019: Official lending rate (1 year).,4,People's Bank of China,, Central bank policy rates - China - Daily - End of period,1996-03-12,12.06,A,F,
72,D,CN,368,0,,From 20 Aug 2019 onwards: Loan Prime Rate  (1 year): from 1 Jan 1996 till 19 Aug 2019: Official lending rate (1 year).,4,People's Bank of China,, Central bank policy rates - China - Daily - End of period,1996-03-13,12.06,A,F,
73,D,CN,368,0,,From 20 Aug 2019 onwards: Loan Prime Rate  (1 year): from 1 Jan 1996 till 19 Aug 2019: Official lending rate (1 year).,4,People's Bank of China,, Central bank policy rates - China - Daily - End of period,1996-03-14,12.06,A,F,
74,D,CN,368,0,,From 20 Aug 2019 onwards: Loan Prime Rate  (1 year): from 1 Jan 1996 till 19 Aug 2019: Official lending rate (1 year).,4,People's Bank of China,, Central bank policy rates - China - Daily - End of period,1996-03-15,12.06,A,F,
75,D,CN,368,0,,From 20 Aug 2019 onwards: Loan Prime Rate  (1 year): from 1 Jan 1996 till 19 Aug 2019: Official lending rate (1 year).,4,People's Bank of China,, Central bank policy rates - China - Daily - End of period,1996-03-16,12.06,A,F,
76,D,CN,368,0,,From 20 Aug 2019 onwards: Loan Prime Rate  (1 year): from 1 Jan 1996 till 19 Aug 2019: Official lending rate (1 year).,4,People's Bank of China,, Central bank policy rates - China - Daily - End of period,1996-03-17,12.06,A,F,
77,D,CN,368,0,,From 20 Aug 2019 onwards: Loan Prime Rate  (1 year): from 1 Jan 1996 till 19 Aug 2019: Official lending rate (1 year).,4,People's Bank of China,, Central bank policy rates - China - Daily - End of period,1996-03-18,12.06,A,F,
78,D,CN,368,0,,From 20 Aug 2019 onwards: Loan Prime Rate  (1 year): from 1 Jan 1996 till 19 Aug 2019: Official lending rate (1 year).,4,People's Bank of China,, Central bank policy rates - China - Daily - End of period,1996-03-19,12.06,A,F,
79,D,CN,368,0,,From 20 Aug 2019 onwards: Loan Prime Rate  (1 year): from 1 Jan 1996 till 19 Aug 2019: Official lending rate (1 year).,4,People's Bank of China,, Central bank policy rates - China - Daily - End of period,1996-03-20,12.06,A,F,
80,D,CN,368,0,,From 20 Aug 2019 onwards: Loan Prime Rate  (1 year): from 1 Jan 1996 till 19 Aug 2019: Official lending rate (1 year).,4,People's Bank of China,, Central bank policy rates - China - Daily - End of period,1996-03-21,12.06,A,F,
81,D,CN,368,0,,From 20 Aug 2019 onwards: Loan Prime Rate  (1 year): from 1 Jan 1996 till 19 Aug 2019: Official lending rate (1 year).,4,People's Bank of China,, Central bank policy rates - China - Daily - End of period,1996-03-22,12.06,A,F,
82,D,CN,368,0,,From 20 Aug 2019 onwards: Loan Prime Rate  (1 year): from 1 Jan 1996 till 19 Aug 2019: Official lending rate (1 year).,4,People's Bank of China,, Central bank policy rates - China - Daily - End of period,1996-03-23,12.06,A,F,
83,D,CN,368,0,,From 20 Aug 2019 onwards: Loan Prime Rate  (1 year): from 1 Jan 1996 till 19 Aug 2019: Official lending rate (1 year).,4,People's Bank of China,, Central bank policy rates - China - Daily - End of period,1996-03-24,12.06,A,F,
84,D,CN,368,0,,From 20 Aug 2019 onwards: Loan Prime Rate  (1 year): from 1 Jan 1996 till 19 Aug 2019: Official lending rate (1 year).,4,People's Bank of China,, Central bank policy rates - China - Daily - End of period,1996-03-25,12.06,A,F,
85,D,CN,368,0,,From 20 Aug 2019 onwards: Loan Prime Rate  (1 year): from 1 Jan 1996 till 19 Aug 2019: Official lending rate (1 year).,4,People's Bank of China,, Central bank policy rates - China - Daily - End of period,1996-03-26,12.06,A,F,
86,D,CN,368,0,,From 20 Aug 2019 onwards: Loan Prime Rate  (1 year): from 1 Jan 1996 till 19 Aug 2019: Official lending rate (1 year).,4,People's Bank of China,, Central bank policy rates - China - Daily - End of period,1996-03-27,12.06,A,F,
87,D,CN,368,0,,From 20 Aug 2019 onwards: Loan Prime Rate  (1 year): from 1 Jan 1996 till 19 Aug 2019: Official lending rate (1 year).,4,People's Bank of China,, Central bank policy rates - China - Daily - End of period,1996-03-28,12.06,A,F,
88,D,CN,368,0,,From 20 Aug 2019 onwards: Loan Prime Rate  (1 year): from 1 Jan 1996 till 19 Aug 2019: Official lending rate (1 year).,4,People's Bank of China,, Central bank policy rates - China - Daily - End of period,1996-03-29,12.06,A,F,
89,D,CN,368,0,,From 20 Aug 2019 onwards: Loan Prime Rate  (1 year): from 1 Jan 1996 till 19 Aug 2019: Official lending rate (1 year).,4,People's Bank of China,, Central bank policy rates - China - Daily - End of period,1996-03-30,12.06,A,F,
90,D,CN,368,0,,From 20 Aug 2019 onwards: Loan Prime Rate  (1 year): from 1 Jan 1996 till 19 Aug 2019: Official lending rate (1 year).,4,People's Bank of China,, Central bank policy rates - China - Daily - End of period,1996-03-31,12.06,A,F,
91,D,CN,368,0,,From 20 Aug 2019 onwards: Loan Prime Rate  (1 year): from 1 Jan 1996 till 19 Aug 2019: Official lending rate (1 year).,4,People's Bank of China,, Central bank policy rates - China - Daily - End of period,1996-04-01,12.06,A,F,
92,D,CN,368,0,,From 20 Aug 2019 onwards: Loan Prime Rate  (1 year): from 1 Jan 1996 till 19 Aug 2019: Official lending rate (1 year).,4,People's Bank of China,, Central bank policy rates - China - Daily - End of period,1996-04-02,12.06,A,F,
93,D,CN,368,0,,From 20 Aug 2019 onwards: Loan Prime Rate  (1 year): from 1 Jan 1996 till 19 Aug 2019: Official lending rate (1 year).,4,People's Bank of China,, Central bank policy rates - China - Daily - End of period,1996-04-03,12.06,A,F,
94,D,CN,368,0,,From 20 Aug 2019 onwards: Loan Prime Rate  (1 year): from 1 Jan 1996 till 19 Aug 2019: Official lending rate (1 year).,4,People's Bank of China,, Central bank policy rates - China - Daily - End of period,1996-04-04,12.06,A,F,
95,D,CN,368,0,,From 20 Aug 2019 onwards: Loan Prime Rate  (1 year): from 1 Jan 1996 till 19 Aug 2019: Official lending rate (1 year).,4,People's Bank of China,, Central bank policy rates - China - Daily - End of period,1996-04-05,12.06,A,F,
96,D,CN,368,0,,From 20 Aug 2019 onwards: Loan Prime Rate  (1 year): from 1 Jan 1996 till 19 Aug 2019: Official lending rate (1 year).,4,People's Bank of China,, Central bank policy rates - China - Daily - End of period,1996-04-06,12.06,A,F,
97,D,CN,368,0,,From 20 Aug 2019 onwards: Loan Prime Rate  (1 year): from 1 Jan 1996 till 19 Aug 2019: Official lending rate (1 year).,4,People's Bank of China,, Central bank policy rates - China - Daily - End of period,1996-04-07,12.06,A,F,
98,D,CN,368,0,,From 20 Aug 2019 onwards: Loan Prime Rate  (1 year): from 1 Jan 1996 till 19 Aug 2019: Official lending rate (1 year).,4,People's Bank of China,, Central bank policy rates - China - Daily - End of period,1996-04-08,12.06,A,F,
99,D,CN,368,0,,From 20 Aug 2019 onwards: Loan Prime Rate  (1 year): from 1 Jan 1996 till 19 Aug 2019: Official lending rate (1 year).,4,People's Bank of China,, Central bank policy rates - China - Daily - End of period,1996-04-09,12.06,A,F,
100,D,CN,368,0,,From 20 Aug 2019 onwards: Loan Prime Rate  (1 year): from 1 Jan 1996 till 19 Aug 2019: Official lending rate (1 year).,4,People's Bank of China,, Central bank policy rates - China - Daily - End of period,1996-04-10,12.06,A,F,
101,D,CN,368,0,,From 20 Aug 2019 onwards: Loan Prime Rate  (1 year): from 1 Jan 1996 till 19 Aug 2019: Official lending rate (1 year).,4,People's Bank of China,, Central bank policy rates - China - Daily - End of period,1996-04-11,12.06,A,F,
102,D,CN,368,0,,From 20 Aug 2019 onwards: Loan Prime Rate  (1 year): from 1 Jan 1996 till 19 Aug 2019: Official lending rate (1 year).,4,People's Bank of China,, Central bank policy rates - China - Daily - End of period,1996-04-12,12.06,A,F,
103,D,CN,368,0,,From 20 Aug 2019 onwards: Loan Prime Rate  (1 year): from 1 Jan 1996 till 19 Aug 2019: Official lending rate (1 year).,4,People's Bank of China,, Central bank policy rates - China - Daily - End of period,1996-04-13,12.06,A,F,
104,D,CN,368,0,,From 20 Aug 2019 onwards: Loan Prime Rate  (1 year): from 1 Jan 1996 till 19 Aug 2019: Official lending rate (1 year).,4,People's Bank of China,, Central bank policy rates - China - Daily - End of period,1996-04-14,12.06,A,F,
105,D,CN,368,0,,From 20 Aug 2019 onwards: Loan Prime Rate  (1 year): from 1 Jan 1996 till 19 Aug 2019: Official lending rate (1 year).,4,People's Bank of China,, Central bank policy rates - China - Daily - End of period,1996-04-15,12.06,A,F,
106,D,CN,368,0,,From 20 Aug 2019 onwards: Loan Prime Rate  (1 year): from 1 Jan 1996 till 19 Aug 2019: Official lending rate (1 year).,4,People's Bank of China,, Central bank policy rates - China - Daily - End of period,1996-04-16,12.06,A,F,
107,D,CN,368,0,,From 20 Aug 2019 onwards: Loan Prime Rate  (1 year): from 1 Jan 1996 till 19 Aug 2019: Official lending rate (1 year).,4,People's Bank of China,, Central bank policy rates - China - Daily - End of period,1996-04-17,12.06,A,F,
108,D,CN,368,0,,From 20 Aug 2019 onwards: Loan Prime Rate  (1 year): from 1 Jan 1996 till 19 Aug 2019: Official lending rate (1 year).,4,People's Bank of China,, Central bank policy rates - China - Daily - End of period,1996-04-18,12.06,A,F,
109,D,CN,368,0,,From 20 Aug 2019 onwards: Loan Prime Rate  (1 year): from 1 Jan 1996 till 19 Aug 2019: Official lending rate (1 year).,4,People's Bank of China,, Central bank policy rates - China - Daily - End of period,1996-04-19,12.06,A,F,
110,D,CN,368,0,,From 20 Aug 2019 onwards: Loan Prime Rate  (1 year): from 1 Jan 1996 till 19 Aug 2019: Official lending rate (1 year).,4,People's Bank of China,, Central bank policy rates - China - Daily - End of period,1996-04-20,12.06,A,F,
