observation_date,CPALTT01CNM657N
1993-02-01,0.5664407040637889912
1993-03-01,1.8508761088419201091
1993-04-01,2.8893920371199799391
1993-05-01,1.4970992079859000157
1993-06-01,-0.1383583911504819020
1993-07-01,-0.6928652942832520534
1993-08-01,2.1431090050712700013
1993-09-01,2.6250219235171798893
1993-10-01,0.7266733891359599129
1993-11-01,0.8667967320219971405
1993-12-01,3.0227152642225498802
1994-01-01,4.0482710672169099908
1994-02-01,2.3103663163719900808
1994-03-01,1.1895064852058001570
1994-04-01,2.3009720277738501260
1994-05-01,1.1635015832624799881
1994-06-01,0.9318820495040700536
1994-07-01,0.4411470288582589050
1994-08-01,3.6258317076955801639
1994-09-01,3.8486921108194493968
1994-10-01,1.0431731617561599279
1994-11-01,0.7088230279010419022
1994-12-01,1.4066720785788899839
1995-01-01,2.8875740133702998413
1995-02-01,0.9088539001195079514
1995-03-01,0.2801246662523448894
1995-04-01,1.7949485702642598017
1995-05-01,0.8282459095593699416
1995-06-01,-0.8300221346295559854
1995-07-01,-0.8334849665579320277
1995-08-01,1.6723018547276002899
1995-09-01,2.6696231668727001818
1995-10-01,0.0613060883098733994
1995-11-01,-0.0997218397397147960
1995-12-01,0.4035473767888578811
1996-01-01,1.8596327278050599485
1996-02-01,1.1865847976392500662
1996-03-01,0.7388625698924680130
1996-04-01,1.7022399238653800335
1996-05-01,0.0929432263848267992
1996-06-01,-1.1032165450973299148
1996-07-01,-1.1074269503693299210
1996-08-01,1.4845422516605402130
1996-09-01,2.0047875571994597799
1996-10-01,-0.3113617763740380018
1996-11-01,-0.1930876536995899950
1996-12-01,0.4974708128552099984
1997-01-01,0.8124779893904580108
1997-02-01,0.8999370274034799166
1997-03-01,-0.7874839337445941334
1997-04-01,0.9199150648965640498
1997-05-01,-0.2950137001517050273
1997-06-01,-1.1032172801015700525
1997-07-01,-1.2036250083125401567
1997-08-01,0.6940095105587440472
1997-09-01,1.9046846666537800008
1997-10-01,-0.6051393953683460447
1997-11-01,-0.5864147604353530108
1997-12-01,-0.1983571108982039033
1998-01-01,0.7120663285269269727
1998-02-01,0.4975446638235440089
1998-03-01,0.0070105714818336998
1998-04-01,-0.0822695353361514031
1998-05-01,-0.9950475341035790455
1998-06-01,-1.4029051612730198961
1998-07-01,-1.3037224530603099826
1998-08-01,0.6940093382372408692
1998-09-01,1.8013337515676102196
1998-10-01,-0.2015064498159900019
1998-11-01,-0.6869337266978641221
1998-12-01,0.0036704584674503000
1999-01-01,0.5086078407221520381
1999-02-01,0.3958263780898069739
1999-03-01,-0.4996107815015100040
1999-04-01,-0.4892662196467569835
1999-05-01,-0.9950474435145250096
1999-06-01,-1.3020895338868001545
1999-07-01,-0.5980302248210239702
1999-08-01,0.7961343102957710860
1999-09-01,2.3170439666803903656
1999-10-01,-0.0002996304133588000
1999-11-01,-0.9866719712358820171
